cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
7841,matched_official_mte,8290,3122; 8183; 8189; 8219,3122; 8183; 8219,4,3,0.29666666666666663,0.13560563737871995,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,331115.0,0.29666666666666663,0.13560563737871995,0.12369316876852983,0.0555777733351102
7842,matched_official_mte,9321,9329,9329,1,1,0.12,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1912782.0,0.12,0.02,0.02,0.0
7911,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8101,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1691.0,0.265,0.08986100377805716,0.08631338250816036,0.024999999999999994
8102,matched_official_mte,8232,3122; 8142,3122; 8142,2,2,0.25999999999999995,0.13341664064126332,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1918.0,0.25999999999999995,0.13341664064126332,0.09848857801796104,0.08999999999999996
8103,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8110,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1900.0,0.265,0.08986100377805716,0.08631338250816036,0.024999999999999994
8111,matched_official_mte,8151; 8159,8131; 3133,8131; 3133,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,7634.0,0.25082001571915113,0.08017212513803224,0.08631338250816036,0.024999999999999994
8112,matched_official_mte,8152; 8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,618.0,0.26499999999999996,0.08986100377805716,0.08631338250816036,0.024999999999999994
8113,matched_official_mte,8153; 8155,3133; 8131; 3134,3133; 8131; 3134,3,3,0.2733333333333334,0.09775252199076788,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1678.0,0.26499999999999996,0.09006271818126442,0.09486832980505139,0.02357022603955158
8114,matched_official_mte,8154,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2757.0,0.265,0.08986100377805716,0.08631338250816036,0.024999999999999994
8115,matched_official_mte,8155,3134; 8131,3134; 8131,2,2,0.265,0.09552486587271401,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,980.0,0.265,0.09552486587271401,0.09219544457292889,0.024999999999999994
8116,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2018.0,0.265,0.08986100377805716,0.08631338250816036,0.024999999999999994
8117,matched_official_mte,8231; 8229; 8232,3122; 8141; 8131; 8142,3122; 8141; 8131; 8142,4,4,0.235,0.1087428158546577,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,62537.0,0.26167532820570216,0.13241609672694687,0.0818535277187245,0.07158910531638173
8118,matched_official_mte,8221,3122; 8131,3122; 8131,2,2,0.29499999999999993,0.11800423721205945,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,Not Exposed,False,740.0,0.29499999999999993,0.11800423721205945,0.1044030650891055,0.054999999999999966
8121,matched_official_mte,8222,3122; 8131,3122; 8131,2,2,0.29499999999999993,0.11800423721205945,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,Not Exposed,False,822.0,0.29499999999999993,0.11800423721205945,0.1044030650891055,0.054999999999999966
8131,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8181,matched_official_mte,5132,3258; 5321; 5329,3258; 5321; 5329,3,3,0.17,0.11135528725660045,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,15332.0,0.17,0.11135528725660045,0.1055146119422961,0.03559026084010437
