case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
health_care_aides,health_restricted,race_color,race_black_combined,real_admission_wage,-37.03584052,adequate,2492.687463,1707,6,-45.07671336,adequate,-41.13248422,adequate,6,-33.22779492,adequate,-33.22779492,adequate,-28.10836745,-8.927473067,-8.040872845,-4.096643706,3.808045602,3.808045602
health_care_aides,health_restricted,race_color,race_white,admissions,125.8680556,adequate,1632,1632,6,108.1639184,adequate,117.9100112,adequate,6,125.8680556,adequate,125.8680556,adequate,91.62179487,34.24626068,-17.70413718,-7.958044326,,
health_care_aides,health_restricted,race_color,race_white,real_admission_wage,-54.16893602,adequate,3523.561624,1628,6,-59.21273848,adequate,-48.23146884,adequate,6,-56.00462058,adequate,-56.00462058,adequate,-41.2801188,-12.88881721,-5.043802465,5.937467171,-1.835684565,-1.835684565
health_care_aides,health_restricted,sex,men,admissions,32.61712922,adequate,1117,1117,6,23.70215727,adequate,27.8506583,adequate,6,32.61712922,adequate,32.61712922,adequate,25.91354724,6.703581978,-8.914971943,-4.766470918,,
health_care_aides,health_restricted,sex,men,real_admission_wage,4.829532184,adequate,1560.455483,1114,6,-10.07813266,adequate,-8.436768759,adequate,6,8.511052672,adequate,8.511052672,adequate,2.711684936,2.117847248,-14.90766484,-13.26630094,3.681520488,3.681520488
health_care_aides,health_restricted,sex,women,admissions,63.02763919,adequate,4209,4209,6,72.31262451,adequate,90.86640827,adequate,6,63.02763919,adequate,63.02763919,adequate,50.56061861,12.46702057,9.284985327,27.83876909,,
health_care_aides,health_restricted,sex,women,real_admission_wage,-41.02746993,adequate,2680.148751,4199,6,-48.93269084,adequate,-42.97524841,adequate,6,-40.13604939,adequate,-40.13604939,adequate,-30.65484749,-10.37262244,-7.905220907,-1.947778483,0.8914205426,0.8914205426
health_care_aides,primary,age,age_22_25,admissions,13.90946502,adequate,1215,1215,6,17.14914508,adequate,22.28354592,adequate,6,13.90946502,adequate,13.90946502,adequate,13.90946502,0,3.239680062,8.374080902,,
health_care_aides,primary,age,age_22_25,real_admission_wage,-5.790238574,adequate,1897.194488,1211,6,-28.52451224,adequate,-30.37285151,adequate,6,-10.10611887,adequate,-10.10611887,adequate,-5.790238574,0,-22.73427366,-24.58261293,-4.3158803,-4.3158803
health_care_aides,primary,age,age_26_30,admissions,50.79977149,adequate,1167,1167,6,44.53296102,adequate,50.57754061,adequate,6,50.79977149,adequate,50.79977149,adequate,50.79977149,0,-6.266810478,-0.2222308832,,
