outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbo,status
n_movimentacoes,ppml,-0.04660548988287722,0.03528633700818376,0.1874656168784714,21984,340,4152,estimated
ln_salario_real_adm,ols,-0.05000030204609565,0.010409207623511477,2.345122660063481e-06,21947,340,4152,estimated
asinh_saldo,ols,-0.5757007231414578,0.3819662281223169,0.132689868964615,21984,340,4152,estimated
admissoes,ppml,-0.08176907608383595,0.03343865738479463,0.014979604787918488,21984,340,4211,estimated
desligamentos,ppml,-0.06384097720545447,0.031682533310527616,0.04469146631325582,21984,340,4211,estimated
n_movimentacoes,ppml,-0.07325050661347342,0.030562759439273907,0.0170834661256154,21984,340,4211,estimated
ln_salario_real_adm,ols,-0.05142258298778439,0.010413273873316416,1.2401324827049365e-06,21947,340,4211,estimated
asinh_saldo,ols,-0.5947966666337446,0.3802299795646875,0.11867831920791705,21984,340,4211,estimated
admissoes,ppml,-0.0533312078527035,0.03857198876525003,0.1676851375050461,21984,340,4212,estimated
desligamentos,ppml,-0.04152004437202413,0.03474287499848833,0.23289644559893263,21984,340,4212,estimated
n_movimentacoes,ppml,-0.047632901392899794,0.03536064362458906,0.1788607293699962,21984,340,4212,estimated
ln_salario_real_adm,ols,-0.05137534726610404,0.010416317120374417,1.276073515521503e-06,21947,340,4212,estimated
asinh_saldo,ols,-0.5341123547546043,0.38237035352699067,0.16337373631612917,21984,340,4212,estimated
admissoes,ppml,-0.06136454066414394,0.04091265595752818,0.13457324580944796,21984,340,4221,estimated
desligamentos,ppml,-0.04498114880279357,0.03702386697838749,0.22524096794890158,21984,340,4221,estimated
