subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0116402,A,01,202104,1,1,true
0116402,A,01,202105,0,0,false
0116402,A,01,202106,0,1,false
0116402,A,01,202107,0,2,false
0116402,A,01,202109,0,1,false
0116402,A,01,202110,1,2,true
0116402,A,01,202111,0,1,false
0116402,A,01,202112,0,1,false
0116402,A,01,202201,1,1,true
0116402,A,01,202204,0,1,false
0116402,A,01,202205,0,1,false
0116402,A,01,202206,0,1,false
0116402,A,01,202207,1,1,true
0116402,A,01,202208,1,2,true
0116402,A,01,202209,1,2,true
0116402,A,01,202210,0,1,false
0116402,A,01,202211,1,2,true
0116402,A,01,202212,0,1,false
0116402,A,01,202302,0,1,false
0116402,A,01,202304,0,1,false
0116402,A,01,202305,0,1,false
0116402,A,01,202307,0,0,false
0116402,A,01,202308,0,0,false
0116402,A,01,202309,1,0,false
0116402,A,01,202402,0,2,false
0116402,A,01,202403,0,1,false
