outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
ln_salario_real_adm,22,36,0,14,0.0001281984579491,0.0001281984579484,both,6.999880276109538e-16,True
ln_salario_real_adm,22,37,0,15,0.000124793502288,0.0001247935022872,both,8.000056780227416e-16,True
ln_salario_real_adm,22,38,0,16,3.830812405255935e-05,3.8308124051953e-05,both,6.063468412260964e-16,True
ln_salario_real_adm,22,39,0,17,9.62778497482773e-05,9.6277849747591e-05,both,6.862999751833243e-16,True
ln_salario_real_adm,22,40,0,18,5.167812533375886e-05,5.16781253331024e-05,both,6.564640866492388e-16,True
ln_salario_real_adm,22,41,0,19,4.9394392001908224e-05,4.93943920012652e-05,both,6.430267559739966e-16,True
ln_salario_real_adm,22,42,0,20,0.0001312766432036,0.0001312766432028,both,8.000056780227416e-16,True
ln_salario_real_adm,22,43,0,21,0.000111673691662,0.0001116736916613,both,7.000015801381099e-16,True
ln_salario_real_adm,22,44,0,22,9.858925306290772e-05,9.85892530622625e-05,both,6.452222653732798e-16,True
ln_salario_real_adm,22,45,0,23,4.4043284357394976e-05,4.40432843568954e-05,both,4.995732560270083e-16,True
ln_salario_real_adm,23,0,1,-23,9.420036861180032e-05,9.42003686113863e-05,both,4.1401615209074594e-16,True
ln_salario_real_adm,23,1,1,-22,0.0001116962399741,0.0001116962399738,both,2.999987411267391e-16,True
ln_salario_real_adm,23,2,1,-21,5.141855191088964e-05,5.14185519104909e-05,both,3.9873567772227836e-16,True
ln_salario_real_adm,23,3,1,-20,9.756839446575956e-05,9.75683944654388e-05,both,3.207612127298365e-16,True
ln_salario_real_adm,23,4,1,-19,9.560187637796496e-05,9.56018763776769e-05,both,2.8805896470224246e-16,True
ln_salario_real_adm,23,5,1,-18,0.0001193386357964,0.0001193386357958,both,5.999974822534782e-16,True
ln_salario_real_adm,23,6,1,-17,3.664473827698804e-05,3.66447382765556e-05,both,4.324408127594215e-16,True
ln_salario_real_adm,23,7,1,-16,5.7365905338633966e-05,5.73659053385337e-05,both,1.0026837216417506e-16,True
ln_salario_real_adm,23,8,1,-15,7.685343968663121e-05,7.68534396860292e-05,both,6.020168087997324e-16,True
ln_salario_real_adm,23,9,1,-14,8.715233067978956e-05,8.71523306793381e-05,both,4.51461784622964e-16,True
ln_salario_real_adm,23,10,1,-13,5.472618595134157e-05,5.47261859509181e-05,both,4.2346903978210393e-16,True
